sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-10-06,825000.0,"3029-Ne-133rd-St,-Seattle,-WA-98125",47.724489,-122.295088,1350.0,5932.0,1951.0,,3.0,1.5,"3029 Ne 133rd St, Seattle, WA 98125",Seattle,98125,Single Family,8728d54e4ffffff,9
2025-10-06,1253000.0,"326-157th-Ave-NE,-Bellevue,-WA-98008",47.613012,-122.130869,1280.0,8050.0,1959.0,,3.0,1.0,"326 157th Ave NE, Bellevue, WA 98008",Bellevue,98008,Single Family,8728d558dffffff,7
2025-10-06,565000.0,"7344-35th-Ave-SW,-Seattle,-WA-98126",47.536038,-122.376183,2260.0,4800.0,1939.0,,2.0,1.0,"7344 35th Ave SW, Seattle, WA 98126",Seattle,98126,Single Family,8728d5570ffffff,9
2025-10-06,945000.0,"1919-E-Eaton-Pl,-Seattle,-WA-98112",47.63707,-122.307489,1680.0,4664.0,1932.0,,4.0,1.5,"1919 E Eaton Pl, Seattle, WA 98112",Seattle,98112,Single Family,8728d542affffff,59
2025-10-07,1100000.0,"3003-Ne-88th-St,-Seattle,-WA-98115",47.692161,-122.295781,3365.0,3424.0,2025.0,,5.0,2.5,"3003 Ne 88th St, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
2025-10-07,1325000.0,"3106-Ne-60th-St,-Seattle,-WA-98115",47.672345,-122.293877,2430.0,3250.0,1925.0,,4.0,1.5,"3106 Ne 60th St, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-10-07,600000.0,"5639-3rd-Ave-NW,-Seattle,-WA-98107",47.670629,-122.36113,1710.0,3720.0,1930.0,,3.0,1.0,"5639 3rd Ave NW, Seattle, WA 98107",Seattle,98107,Single Family,8728d5476ffffff,9
2025-10-07,550000.0,"11550-22nd-Ave-NE,-Seattle,-WA-98125",47.7136,-122.305284,870.0,8100.0,1947.0,,2.0,1.0,"11550 22nd Ave NE, Seattle, WA 98125",Seattle,98125,Single Family,8728d540bffffff,9
2025-10-07,1525000.0,"420-8th-Ave,-Kirkland,-WA-98033",47.681567,-122.200625,940.0,7200.0,1949.0,,2.0,1.0,"420 8th Ave, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d5411ffffff,8
2025-10-07,550000.0,"4935-30th-Ave-S,-Seattle,-WA-98108",47.557264,-122.29448,1600.0,5000.0,1969.0,,4.0,1.5,"4935 30th Ave S, Seattle, WA 98108",Seattle,98108,Single Family,8728d5508ffffff,38
