sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-11-07,685000.0,"1522-Ne-97th-St,-Unit-Lower,-Seattle,-WA-98115",47.69968,-122.311002,750.0,,,,1.0,1.0,"1522 Ne 97th St, Unit Lower, Seattle, WA 98115",Seattle,98115,Single Family,8728d540bffffff,9
2025-11-10,730000.0,"5137-Sw-Admiral-Way,-Seattle,-WA-98116",47.579014,-122.398976,1170.0,7140.0,1949.0,,3.0,1.0,"5137 Sw Admiral Way, Seattle, WA 98116",Seattle,98116,Single Family,8728d5542ffffff,9
2025-11-10,3075000.0,"325-18th-Ave,-Kirkland,-WA-98033",47.689158,-122.203154,960.0,14055.0,1972.0,,3.0,1.0,"325 18th Ave, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d541effffff,59
2025-11-10,875000.0,"9714-Palatine-Ave-N,-Seattle,-WA-98103",47.700131,-122.356357,730.0,7620.0,1948.0,,2.0,1.0,"9714 Palatine Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d5454ffffff,9
2025-11-10,343000.0,"412-11th-Ave,-Apt-408,-Seattle,-WA-98122",47.605859,-122.317729,764.0,21700.0,2002.0,,1.0,1.0,"412 11th Ave, Apt 408, Seattle, WA 98122",Seattle,98122,Condo,8728d5421ffffff,9
2025-11-10,500000.0,"4833-S-Austin-St,-Seattle,-WA-98118",47.53443,-122.271149,1620.0,8160.0,1940.0,,3.0,1.0,"4833 S Austin St, Seattle, WA 98118",Seattle,98118,Single Family,8728d550effffff,9
2025-11-10,560000.0,"826-Sw-96th-Pl,-Seattle,-WA-98106",47.517074,-122.3463,1410.0,1786.0,2014.0,,3.0,1.5,"826 Sw 96th Pl, Seattle, WA 98106",Seattle,98106,Single Family,8728d5576ffffff,38
2025-11-10,1430000.0,"2404-127th-Ave-SE,-Bellevue,-WA-98005",47.589028,-122.170858,2780.0,10001.0,1958.0,,4.0,3.0,"2404 127th Ave SE, Bellevue, WA 98005",Bellevue,98005,Single Family,8728d55a9ffffff,7
2025-11-10,960000.0,"9008-Sand-Point-Way-NE,-Seattle,-WA-98115",47.693765,-122.273184,2350.0,6300.0,1945.0,,3.0,2.0,"9008 Sand Point Way NE, Seattle, WA 98115",Seattle,98115,Multi-Family,8728d540affffff,59
2025-11-10,2040000.0,"137-13th-Ave,-Kirkland,-WA-98033",47.685296,-122.206893,1600.0,9000.0,1950.0,,4.0,1.0,"137 13th Ave, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d5411ffffff,8
2025-11-10,5750000.0,"10648-Woodhaven-Ln,-Bellevue,-WA-98004",47.587392,-122.198682,2340.0,10682.0,1954.0,,5.0,1.5,"10648 Woodhaven Ln, Bellevue, WA 98004",Bellevue,98004,Single Family,8728d5434ffffff,36
2025-11-12,1361000.0,"917-Broadway-E,-Seattle,-WA-98102",47.627405,-122.321612,1430.0,5000.0,1936.0,,2.0,1.0,"917 Broadway E, Seattle, WA 98102",Seattle,98102,Single Family,8728d542effffff,9
2025-11-12,525000.0,"215-9th-St,-Apt-D102,-Kirkland,-WA-98033",47.677249,-122.191911,988.0,177650.0,1987.0,,2.0,2.0,"215 9th St, Apt D102, Kirkland, WA 98033",Kirkland,98033,Condo,8728d5411ffffff,8
2025-11-12,690000.0,"7327-35th-Ave-NE,-Seattle,-WA-98115",47.682006,-122.290632,1220.0,896.0,2015.0,,1.0,1.5,"7327 35th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-11-12,1600000.0,"13526-Sherman-Rd-NW,-Seattle,-WA-98177",47.727608,-122.361249,2150.0,9608.0,1961.0,,4.0,2.0,"13526 Sherman Rd NW, Seattle, WA 98177",Seattle,98177,Single Family,8728d5450ffffff,59
2025-11-12,1500000.0,"12207-Se-12th-St,-Bellevue,-WA-98005",47.599908,-122.177255,2200.0,16374.0,1959.0,,3.0,1.5,"12207 Se 12th St, Bellevue, WA 98005",Bellevue,98005,Single Family,8728d5436ffffff,7
2025-11-12,710000.0,"2358-Nw-73rd-St,-Seattle,-WA-98117",47.681494,-122.386911,820.0,3000.0,1906.0,,2.0,1.0,"2358 Nw 73rd St, Seattle, WA 98117",Seattle,98117,Single Family,8728d5473ffffff,9
2025-11-12,480000.0,"7934-20th-Ave-SW,-Seattle,-WA-98106",47.530861,-122.358777,760.0,5120.0,1942.0,,2.0,1.0,"7934 20th Ave SW, Seattle, WA 98106",Seattle,98106,Single Family,8728d5576ffffff,38
2025-11-12,1025000.0,"3314-W-Armour-St,-Seattle,-WA-98199",47.645176,-122.400316,1150.0,4880.0,1921.0,,3.0,1.0,"3314 W Armour St, Seattle, WA 98199",Seattle,98199,Single Family,8728d5474ffffff,9
2025-11-12,590000.0,"10237-31st-Ave-SW,-Seattle,-WA-98146",47.510844,-122.371935,820.0,6300.0,1953.0,,2.0,1.0,"10237 31st Ave SW, Seattle, WA 98146",Seattle,98146,Single Family,8728d5574ffffff,9
2025-11-12,1515000.0,"3032-Nw-65th-St,-Seattle,-WA-98117",47.676031,-122.397211,1640.0,5000.0,1924.0,,3.0,1.5,"3032 Nw 65th St, Seattle, WA 98117",Seattle,98117,Single Family,8728d5470ffffff,9
2025-11-12,580000.0,"13958-51st-Ave-S,-Tukwila,-WA-98168",47.477192,-122.269815,1790.0,19410.0,1948.0,,3.0,2.0,"13958 51st Ave S, Tukwila, WA 98168",Tukwila,98168,Single Family,8728d5523ffffff,38
2025-11-13,675000.0,"5514-S-Avon-St,-Seattle,-WA-98178",47.501688,-122.264458,2020.0,10830.0,1957.0,,4.0,1.5,"5514 S Avon St, Seattle, WA 98178",Seattle,98178,Single Family,8728d5505ffffff,38
2025-11-13,255000.0,"1105-Spring-St,-Apt-1309,-Seattle,-WA-98104",47.609973,-122.325261,540.0,15360.0,1950.0,,1.0,1.0,"1105 Spring St, Apt 1309, Seattle, WA 98104",Seattle,98104,Condo,8728d542cffffff,9
2025-11-13,1270000.0,"2842-Nw-62nd-St,-Seattle,-WA-98107",47.673935,-122.394829,1106.0,1729.0,2025.0,,2.0,1.0,"2842 Nw 62nd St, Seattle, WA 98107",Seattle,98107,Single Family,8728d5470ffffff,9
2025-11-13,500000.0,"6348-34th-Ave-Sw-Unit-C,-Seattle,-WA-98126",47.544917,-122.374588,1050.0,1176.0,2005.0,,3.0,2.5,"6348 34th Ave Sw Unit C, Seattle, WA 98126",Seattle,98126,Townhouse,8728d5573ffffff,14
