Unnamed: 0,sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,h3_07,h3_10,price_per_sqft,h3_08,community
5905,2020-08-25,2601000,4.0,47.5744360156682,-122.212346910978,1190,8000,1956,0,0,1190,8,0,3,1.0,3,1,0,0,0,400,8728d5518ffffff,8a28d551868ffff,2185.714285714286,8828d55187fffff,139
5906,2020-08-19,2600000,3.0,47.674658667236,-122.331596407428,1100,6120,1905,1947,0,1100,7,0,4,1.0,3,1,0,0,0,0,8728d540dffffff,8a28d540d19ffff,2363.6363636363635,8828d540d1fffff,9
5908,2020-08-31,915000,4.0,47.577546683514,-122.311501353701,1720,1898,1924,0,0,860,7,0,5,2.0,4,2,0,0,0,0,8728d5425ffffff,8a28d542596ffff,531.9767441860465,8828d55565fffff,5
5909,2020-09-01,2100000,2.0,47.7549738301967,-122.226857523593,3040,71438,1953,0,900,2140,8,7,4,1.0,5,1,1,1,0,670,8728d54f1ffffff,8a28d54f56d7fff,690.7894736842105,8828d54f57fffff,9
5910,2020-09-01,765000,3.0,47.5409454999367,-122.268290530342,1380,6820,1947,0,420,960,7,4,3,1.0,3,1,1,0,0,0,8728d550effffff,8a28d550e087fff,554.3478260869565,8828d550e1fffff,9
5911,2020-09-02,1050000,3.0,47.6944589524566,-122.373015902825,1440,6120,1947,0,0,980,7,0,3,1.5,2,1,0,0,0,0,8728d5454ffffff,8a28d5454867fff,729.1666666666666,8828d54549fffff,9
5912,2020-09-06,410000,3.0,47.4945001135985,-122.22539530023,940,6000,1952,0,0,940,6,0,3,1.0,2,1,0,0,0,0,8728d5504ffffff,8a28d550459ffff,436.17021276595744,8828d55045fffff,5
5913,2020-09-08,350000,3.0,47.3071409965725,-122.237558284793,1540,6000,1913,0,0,1030,6,0,2,1.5,3,1,0,0,0,0,8728d5ca6ffffff,8a28d5ca6baffff,227.27272727272728,8828d5ca6bfffff,79
5914,2020-09-04,175000,2.0,47.2824134184781,-122.227570450752,740,22610,1913,0,0,740,5,0,3,1.0,2,1,0,0,0,0,8728d5d99ffffff,8a28d5d999affff,236.48648648648648,8828d5d999fffff,12
5917,2020-09-17,650000,1.0,47.4706911232275,-122.262944823768,1670,13125,1950,0,0,1670,7,0,5,1.0,4,1,0,0,0,0,8728d5523ffffff,8a28d55206dffff,389.2215568862275,8828d55207fffff,12
5919,2020-09-16,1601000,2.0,47.6670045989955,-122.335741696186,1550,4815,1909,0,0,950,7,0,3,1.5,4,2,0,0,0,0,8728d540dffffff,8a28d540d99ffff,1032.9032258064517,8828d540d9fffff,9
5920,2020-09-16,486000,4.0,47.480365430712,-122.336106803699,920,8775,1943,0,110,810,6,6,4,1.0,3,1,0,0,0,0,8728d552dffffff,8a28d552c26ffff,528.2608695652174,8828d552c3fffff,5
5921,2020-09-21,879000,4.0,47.6914052089669,-122.393625944226,1140,4500,1928,0,380,760,7,5,3,1.0,2,1,0,1,0,0,8728d5473ffffff,8a28d54730e7fff,771.0526315789474,8828d54731fffff,9
5922,2020-09-16,1260000,2.0,47.6634911254738,-122.318088993167,3060,3800,1923,0,1000,1030,7,6,3,2.0,9,1,2,0,0,0,8728d540cffffff,8a28d540ca37fff,411.7647058823529,8828d540cbfffff,9
5923,2020-09-23,1250000,2.0,47.5479828003929,-122.090047025425,3260,75794,1978,0,0,1460,9,0,3,2.0,4,1,1,1,0,480,8728d55a0ffffff,8a28d55a032ffff,383.4355828220859,8828d55a03fffff,100
5924,2020-09-25,1025000,4.0,47.5771615550091,-122.153911128738,1620,9000,1955,0,600,1020,7,5,4,1.0,3,1,0,1,290,0,8728d55adffffff,8a28d55a8b47fff,632.716049382716,8828d55a8bfffff,139
5925,2020-09-24,940000,4.0,47.3924295058734,-122.230416812929,1350,35390,1948,0,0,1350,6,0,3,1.0,2,1,0,0,0,0,8728d5c83ffffff,8a28d5c830a7fff,696.2962962962963,8828d5c831fffff,79
5926,2020-09-05,925000,4.0,47.6910699160537,-122.327999825035,530,7620,1947,0,0,530,5,0,5,1.0,1,1,0,0,0,0,8728d5409ffffff,8a28d5409caffff,1745.2830188679245,8828d5409dfffff,9
5928,2020-09-30,480000,2.0,47.7593060240582,-122.089598008446,1240,39120,1935,0,0,1240,4,0,4,1.0,3,1,0,0,0,0,8728d548effffff,8a28d548ed57fff,387.0967741935484,8828d548edfffff,9
5929,2020-09-29,812500,2.0,47.7057538289516,-122.347772701697,990,9300,1924,0,0,990,6,0,3,1.0,1,1,0,0,0,0,8728d5456ffffff,8a28d545694ffff,820.7070707070707,8828d54569fffff,9
5930,2020-10-06,475000,2.0,47.4894865306382,-122.204773565024,1290,4500,1925,0,0,940,5,0,4,1.5,4,1,0,0,0,0,8728d5531ffffff,8a28d55317b7fff,368.2170542635659,8828d55315fffff,5
5932,2020-10-07,500000,4.0,47.4181235370693,-122.314801340739,1610,8000,1954,0,0,1610,6,0,4,1.0,3,1,1,0,0,0,8728d5c89ffffff,8a28d5c89727fff,310.55900621118013,8828d5c891fffff,79
5933,2020-10-08,725000,2.0,47.5173221991672,-122.264802282659,1510,11000,1915,0,0,1510,6,0,3,1.0,3,1,1,0,240,0,8728d5501ffffff,8a28d55011b7fff,480.1324503311258,8828d5501dfffff,5
5934,2020-10-01,899000,4.0,47.6367229862899,-122.364041987726,1420,3600,1904,0,0,930,6,0,4,1.5,3,1,0,1,0,0,8728d5429ffffff,8a28d54298f7fff,633.0985915492957,8828d54299fffff,9
5936,2020-10-07,755000,2.0,47.5297175364306,-122.384101331252,2130,6841,1940,0,110,1250,7,7,4,2.0,4,1,1,1,640,0,8728d5570ffffff,8a28d557015ffff,354.4600938967136,8828d55701fffff,5
5937,2020-10-06,520000,2.0,47.7006491064743,-122.360367915848,690,6235,1938,0,0,690,6,0,3,1.0,2,1,0,0,0,0,8728d5454ffffff,8a28d54541b7fff,753.6231884057971,8828d54541fffff,9
5940,2020-10-10,650000,2.0,47.5678045708379,-122.397076941254,810,5750,1909,0,0,810,5,0,2,1.0,1,1,0,0,0,0,8728d5555ffffff,8a28d5555a77fff,802.4691358024692,8828d5555bfffff,9
5941,2020-10-07,2125000,2.0,47.6836889942017,-122.31065172861,2180,6048,1940,0,700,1070,7,7,3,1.5,3,1,1,0,180,0,8728d5408ffffff,8a28d540812ffff,974.7706422018349,8828d54081fffff,9
5942,2020-10-12,4600000,2.0,47.5249831605725,-122.225470122926,3820,22867,1973,0,1820,2000,11,10,4,1.0,4,2,0,1,0,0,8728d5502ffffff,8a28d5502ad7fff,1204.1884816753927,8828d5502bfffff,3
5943,2020-10-06,270000,1.0,47.51057062229,-122.337134734239,1000,7131,1950,0,0,1000,6,0,3,1.0,3,1,0,0,0,0,8728d552bffffff,8a28d552bb0ffff,270.0,8828d552bbfffff,5
5944,2020-10-09,700000,2.0,47.4633479751814,-122.360947587852,620,7847,1926,0,0,620,5,0,4,1.0,1,1,0,0,0,0,8728d5cd3ffffff,8a28d5cd3acffff,1129.032258064516,8828d5cd3bfffff,5
5945,2020-10-06,1178000,3.0,47.6756407323295,-122.306205037985,2810,3800,1919,0,920,1370,7,6,5,2.0,4,1,1,0,0,0,8728d540cffffff,8a28d540c60ffff,419.2170818505338,8828d540c7fffff,9
5946,2020-10-02,1020000,5.0,47.245931945461,-122.001476064568,660,188179,1960,0,0,660,5,0,4,1.0,2,1,0,0,0,0,8728d4adbffffff,8a28d4adbc47fff,1545.4545454545455,8828d4adbdfffff,4
5947,2020-10-12,650000,3.0,47.7252183043063,-122.327940034254,1240,7200,1960,0,0,1240,7,0,3,1.0,3,1,0,0,0,0,8728d54e5ffffff,8a28d54e5a47fff,524.1935483870968,8828d54e5bfffff,9
5949,2020-10-19,395000,1.0,47.5202237320067,-122.360135159118,620,5120,1941,0,0,620,6,0,3,1.0,2,1,0,0,0,0,8728d5576ffffff,8a28d5576b9ffff,637.0967741935484,8828d5576bfffff,5
5950,2020-10-12,916000,2.0,47.6788503326079,-122.371644258056,970,5000,1905,0,0,640,7,0,5,1.5,3,1,0,0,0,0,8728d5472ffffff,8a28d5472b87fff,944.3298969072165,8828d5472bfffff,9
