sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-04-28,678000,,47.60366136113811,-122.12614403241214,1890,7546,1956,0,700,1190,7,6,4,1.0,4,1,1,0,0,0
2020-04-24,1500000,3.0,47.400073006752336,-121.98477597944522,1070,186872,1964,0,0,1070,6,0,4,1.0,3,1,0,0,0,0
2020-04-29,694000,,47.510592121229394,-122.27062790703266,2440,22000,1951,0,1200,1240,8,7,3,1.0,4,1,1,0,0,0
2020-04-28,180000,2.0,47.2786862234547,-122.25744308967484,700,15000,1934,0,0,700,5,0,4,1.0,2,1,0,0,0,0
2020-04-29,679950,,47.377318074597376,-122.00072943565482,1750,35000,1990,0,0,1750,7,0,3,1.0,3,1,1,0,0,0
2020-04-09,1455000,2.0,47.50292594514401,-122.02124907361647,2470,87120,1966,0,0,2470,8,0,5,1.0,3,1,1,0,0,0
2020-04-29,690000,2.0,47.42402080493651,-122.02790444339634,2270,207781,1949,0,890,1380,7,6,4,1.0,2,1,0,0,0,0
2020-04-24,980000,2.0,47.41960952426208,-122.05911840647228,2440,95832,1994,0,0,1370,9,0,3,2.0,3,2,0,1,0,790
2020-05-06,376000,2.0,47.44061566246084,-122.2771430079038,1730,8700,1957,0,520,1210,7,7,3,1.0,4,1,0,0,0,530
2020-05-11,1425000,2.0,47.674202825355344,-122.3109041570898,1700,4056,1940,0,0,900,7,0,3,1.5,2,1,0,0,0,0
2020-05-06,500500,,47.462334173309685,-122.35871728600648,1400,8625,1923,1978,0,1400,6,0,3,1.0,3,1,0,0,0,0
2020-05-07,485000,2.0,47.527609795830706,-122.28233953693518,1510,5447,1966,0,500,1010,7,4,3,1.0,4,1,0,1,0,0
2020-05-05,1740000,2.0,47.609539281595694,-122.3106186967204,2420,7680,1903,0,0,1210,8,0,5,2.0,4,1,0,1,0,0
2020-05-12,595000,3.0,47.73150137398803,-122.35998889219668,1320,8100,1943,0,0,760,6,0,3,2.0,4,1,0,0,0,0
2020-05-14,529000,,47.748081969566115,-122.30164055055954,960,7200,1948,0,0,960,7,0,4,1.0,2,1,0,0,0,0
2020-05-19,635000,,47.41720917746987,-122.15100207799073,1880,160300,1994,0,0,1880,7,0,3,1.0,2,1,0,1,0,0
2020-05-14,652000,4.0,47.51190960484597,-122.3343112942323,620,5185,1941,0,0,620,3,0,4,1.0,1,1,0,0,0,0
2020-05-20,850000,2.0,47.514057159035914,-122.25550339503104,1800,6000,1941,0,700,1100,7,6,3,1.0,3,2,0,1,0,0
2020-05-20,540000,,47.412012429266646,-122.20254486173714,2070,19890,1957,0,0,2070,7,0,2,1.0,4,1,0,0,0,0
2020-05-26,652100,3.0,47.52773740901422,-122.2671613677311,1230,5500,1990,0,0,1230,7,0,3,1.0,3,2,0,0,260,220
2020-05-22,885000,2.0,47.68647328433488,-122.2956216898125,1240,9180,1941,0,0,1240,7,0,3,1.0,2,1,0,0,0,0
2020-05-26,1260000,3.0,47.671133426843795,-122.30152137585108,1820,3477,1927,0,260,900,8,7,3,1.5,2,1,0,0,0,0
2020-05-28,2895000,2.0,47.67654649220784,-122.40362573876,1200,6460,1925,0,0,820,7,0,5,1.5,4,1,0,0,0,0
2020-05-28,970000,,47.68099811037261,-122.1178618906834,1500,9450,1967,0,400,1100,7,6,3,1.0,4,1,1,0,240,0
2020-05-18,336000,3.0,47.49886605840048,-122.31675186012704,670,10812,1928,0,0,670,5,0,4,1.0,2,1,0,0,0,0
2020-05-28,1100000,3.0,47.5310678006681,-121.7640521803836,1920,59677,1920,0,0,1220,6,0,5,1.5,4,1,0,0,0,0
2020-06-02,599000,3.0,47.49051722363373,-122.32842065945026,1180,21896,1939,1962,0,1180,6,0,3,1.0,3,1,0,0,0,0
2020-05-28,535000,2.0,47.48383986618444,-122.02602531764884,1240,43560,1981,0,0,1240,7,0,3,1.0,3,1,1,0,0,0
2020-06-04,435000,2.0,47.53691617155263,-122.2942075351625,2400,5695,1988,0,1200,1200,7,7,3,1.0,3,2,1,0,0,420
2020-05-27,912000,,47.41035491244836,-121.97414716921344,2010,110206,1989,0,0,2010,8,0,3,1.0,3,2,0,0,0,580
2020-06-09,825000,2.0,47.55160182407409,-122.2848194363558,1090,7500,1926,0,0,780,6,0,3,1.5,3,1,0,0,0,0
