id,address,latitude,longitude,lastSalePrice,squareFootage,lotSize,bedrooms,bathrooms,propertyType,lastSaleDate
"6515-Ne-60th-St,-Seattle,-WA-98115","6515 Ne 60th St, Seattle, WA 98115",47.671811,-122.257418,1500000,1760,9600,3,1.5,Single Family,2025-09-30
"6023-Ne-61st-St,-Seattle,-WA-98115","6023 Ne 61st St, Seattle, WA 98115",47.672602,-122.262434,1850000,2830,4515,4,2.5,Single Family,2025-10-31
"5505-Ne-65th-St,-Seattle,-WA-98115","5505 Ne 65th St, Seattle, WA 98115",47.675548,-122.268594,1598800,400,5998,0,1.0,Apartment,2025-12-19
"5159-Ne-55th-St,-Seattle,-WA-98105","5159 Ne 55th St, Seattle, WA 98105",47.668238,-122.270783,2500000,3060,10800,2,2.5,Single Family,2025-10-01
"5101-Ne-55th-St,-Apt-104,-Seattle,-WA-98105","5101 Ne 55th St, Apt 104, Seattle, WA 98105",47.668236,-122.272980,550000,1250,12148,2,1.5,Condo,2025-09-30
"5143-48th-Ave-NE,-Seattle,-WA-98105","5143 48th Ave NE, Seattle, WA 98105",47.667240,-122.276412,1138650,840,6256,2,1.0,Single Family,2025-10-31
"4274-Ne-50th-St,-Seattle,-WA-98105","4274 Ne 50th St, Seattle, WA 98105",47.665061,-122.280775,850000,2020,1185,4,2.5,Townhouse,2026-02-20
"5746-37th-Ave-NE,-Seattle,-WA-98105","5746 37th Ave NE, Seattle, WA 98105",47.671689,-122.287661,1280000,1890,4013,3,2.5,Single Family,2025-10-21
"5549-39th-Ave-NE,-Seattle,-WA-98105","5549 39th Ave NE, Seattle, WA 98105",47.669955,-122.286106,1050000,1110,5350,2,1.0,Single Family,2025-10-24
"6504-39th-Ave-NE,-Seattle,-WA-98115","6504 39th Ave NE, Seattle, WA 98115",47.675963,-122.285661,1895000,2740,5800,3,2.5,Single Family,2025-11-25
"6517-39th-Ave-NE,-Seattle,-WA-98115","6517 39th Ave NE, Seattle, WA 98115",47.676355,-122.286295,680000,860,5243,2,1.0,Single Family,2026-01-13
"7003-37th-Ave-NE,-Seattle,-WA-98115","7003 37th Ave NE, Seattle, WA 98115",47.679584,-122.288554,1112500,4207,3973,5,2.5,Condo,2026-01-21
"6855-43rd-Ave-NE,-Seattle,-WA-98115","6855 43rd Ave NE, Seattle, WA 98115",47.679194,-122.282561,1088000,2050,5700,3,1.5,Single Family,2025-10-24
"7054-38th-Ave-NE,-Seattle,-WA-98115","7054 38th Ave NE, Seattle, WA 98115",47.680962,-122.286858,1210000,1370,5243,3,2.0,Single Family,2025-10-03
"7016-34th-Ave-NE,-Seattle,-WA-98115","7016 34th Ave NE, Seattle, WA 98115",47.679945,-122.291141,1150000,1330,3800,3,1.5,Single Family,2025-10-21
